MovieName,Genre,Ratings,VotecountOrg,DurationOrg,Votecount,Duration
1. I'm Still Here,history,8.8, 71K,2h 17m,71000.0,137
2. Saturday Night,history,7.0, 25K,1h 49m,25000.0,109
3. September 5,history,7.1, 9.4K,1h 35m,9400.0,95
4. The Apprentice,history,7.1, 39K,2h 2m,39000.0,122
5. Queer,history,6.5, 15K,2h 17m,15000.0,137
6. The Girl with the Needle,history,7.5, 7.3K,2h 3m,7300.0,123
7. The Count of Monte-Cristo,history,7.6, 29K,2h 58m,29000.0,178
8. The Six Triple Eight,history,6.7, 22K,2h 7m,22000.0,127
9. Small Things Like These,history,6.8, 18K,1h 38m,18000.0,98
10. The Return,history,6.2, 6.5K,1h 56m,6500.0,116
11. Blitz,history,6.2, 15K,2h,15000.0,120
12. Joy,history,7.1, 8.3K,1h 55m,8300.0,115
13. Reagan,history,6.2, 10K,2h 21m,10000.0,141
14. The Children's Train,history,7.4, 6K,1h 46m,6000.0,106
15. Unfrosted,history,5.5, 34K,1h 37m,34000.0,97
16. Bonhoeffer: Pastor. Spy. Assassin.,history,6.3, 3K,2h 13m,3000.0,133
17. Vermiglio,history,6.9, 2.9K,1h 59m,2900.0,119
18. William Tell,history,6.3, 314,2h 13m,314.0,133
19. Maharaj,history,6.5, 15K,2h 11m,15000.0,131
20. Golden Kamuy,history,6.3, 2.4K,2h 7m,2400.0,127
21. The Devil's Bath,history,6.6, 5.4K,2h 1m,5400.0,121
22. Grand Tour,history,6.5, 1.2K,2h 8m,1200.0,128
23. Uprising,history,6.6, 5K,2h 6m,5000.0,126
24. Harbin,history,6.8, 357,1h 48m,357.0,108
25. Escape from Germany,history,5.3, 787,1h 37m,787.0,97
26. Thangalaan,history,6.6, 6.4K,2h 36m,6400.0,156
27. The New Year That Never Came,history,8.3, 4.5K,2h 18m,4500.0,138
28. The Flood,history,6.7, 144,1h 41m,144.0,101
29. Kingdom 4: Return of the Great General,history,7.1, 1.1K,2h 25m,1100.0,145
30. The Damned,history,5.3, 718,1h 29m,718.0,89
31. Being Maria,history,6.1, 481,1h 40m,481.0,100
32. Shirley,history,6.2, 3.2K,1h 57m,3200.0,117
33. Goebbels and the Führer,history,6.7, 1.7K,2h 15m,1700.0,135
34. Maidaan,history,7.9, 22K,3h 1m,22000.0,181
35. Ahl Al Kahf,history,5.4, 181,2h,181.0,120
36. Witches,history,7.4, 942,1h 30m,942.0,90
37. Never Alone,history,7.1, 346,1h 25m,346.0,85
38. Bibi Rajni,history,8.6, 698,2h 23m,698.0,143
39. Limonov: The Ballad of Eddie,history,6.0, 619,2h 18m,619.0,138
"40. Love, Courage and the Battle of Bushy Run",history,5.1, 152,1h 53m,152.0,113
41. Razakar: The Silent Genocide of Hyderabad,history,7.4, 5.2K,2h 46m,5200.0,166
42. Witch,history,5.1, 1.4K,1h 47m,1400.0,107
43. Harvest,history,6.0, 299,2h 11m,299.0,131
44. Quisling: The Final Days,history,7.1, 928,2h 26m,928.0,146
45. Seize Them!,history,5.1, 1.1K,1h 31m,1100.0,91
46. The Last Front,history,5.6, 575,1h 38m,575.0,98
47. Waves,history,8.4, 1.1K,2h 11m,1100.0,131
48. The Commandant's Shadow,history,7.3, 963,1h 43m,963.0,103
