MovieName,Genre,Ratings,VotecountOrg,DurationOrg,Votecount,Duration
1. The Six Triple Eight,war,6.7, 22K,2h 7m,22000.0,127
2. The Ministry of Ungentlemanly Warfare,war,6.8, 128K,2h 2m,128000.0,122
3. Nr. 24,war,7.5, 13K,1h 51m,13000.0,111
4. Blitz,war,6.2, 15K,2h,15000.0,120
5. Amaran,war,8.2, 17K,2h 47m,17000.0,167
6. Dirty Angels,war,4.3, 2.8K,1h 44m,2800.0,104
7. William Tell,war,6.3, 314,2h 13m,314.0,133
8. My Dead Friend Zoe,war,7.2, 273,1h 38m,273.0,98
9. Uprising,war,6.6, 5K,2h 6m,5000.0,126
10. Escape from Germany,war,5.3, 787,1h 37m,787.0,97
11. Laws of Man,war,4.2, 288,1h 38m,288.0,98
12. Murder Company,war,3.6, 1.5K,1h 26m,1500.0,86
13. Without Blood,war,7.5, 84,1h 31m,84.0,91
14. Goebbels and the Führer,war,6.7, 1.7K,2h 15m,1700.0,135
15. Never Alone,war,7.1, 346,1h 25m,346.0,85
"16. Love, Courage and the Battle of Bushy Run",war,5.1, 152,1h 53m,152.0,113
17. Quisling: The Final Days,war,7.1, 928,2h 26m,928.0,146
18. Putin,war,3.0, 471,1h 49m,471.0,109
19. The Witch: Revenge,war,5.3, 716,1h 40m,716.0,100
20. The Last Front,war,5.6, 575,1h 38m,575.0,98
21. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,war,8.0, 555,2h 54m,555.0,174
22. Before Dawn,war,5.4, 897,1h 41m,897.0,101
23. Chandu Champion,war,7.8, 33K,2h 22m,33000.0,142
24. Decoded,war,5.8, 385,2h 36m,385.0,156
25. Ka Whawhai Tonu,war,7.3, 162,1h 55m,162.0,115
"26. Canadian, Sniper",war,3.5, 334,1h 23m,334.0,83
27. Battlefield,war,6.2, 573,1h 44m,573.0,104
28. The Friendly,war,8.4, 13,1h 41m,13.0,101
29. Chhava,war,8.9, 1.3K,51m,1300.0,51
30. Atatürk II: 1881-1919,war,9.0, 1.7K,2h 21m,1700.0,141
31. Bau: Artist at War,war,7.4, 48,2h 10m,48.0,130
32. The Shamrock Spitfire,war,5.2, 455,1h 48m,455.0,108
